PERIOD,CARS,LGV,OGV,PSV
2014,0.985,0.975,0.981,0.993
2015,1.000,1.000,1.000,1.000
2016,1.014,1.020,1.000,0.982
2017,1.028,1.040,1.000,0.964
2018,1.042,1.061,0.999,0.947
2019,1.056,1.081,0.999,0.929
2020,1.070,1.101,0.999,0.911
2021,1.081,1.113,1.000,0.911
2022,1.091,1.125,1.000,0.911
2023,1.102,1.136,1.001,0.911
2024,1.112,1.148,1.001,0.911
2025,1.123,1.160,1.002,0.911
2026,1.133,1.173,1.004,0.911
2027,1.142,1.185,1.006,0.911
2028,1.152,1.198,1.007,0.911
2029,1.161,1.210,1.009,0.911
2030,1.171,1.223,1.011,0.911
2031,1.181,1.240,1.015,0.911
2032,1.191,1.257,1.019,0.911
2033,1.202,1.274,1.022,0.911
2034,1.212,1.291,1.026,0.911
2035,1.222,1.308,1.030,0.911
2036,1.231,1.325,1.034,0.911
2037,1.240,1.342,1.038,0.911
2038,1.248,1.359,1.042,0.911
2039,1.257,1.376,1.046,0.911
2040,1.266,1.393,1.050,0.911
2041,1.274,1.407,1.054,0.911
2042,1.282,1.421,1.058,0.911
2043,1.290,1.436,1.062,0.911
2044,1.298,1.450,1.066,0.911
2045,1.306,1.464,1.070,0.911
2046,1.313,1.475,1.074,0.911
2047,1.320,1.487,1.077,0.911
2048,1.328,1.498,1.081,0.911
2049,1.335,1.510,1.084,0.911
2050,1.342,1.521,1.088,0.911
