purpose,mode,period,area,traveller_type,trip_rate,tt_desc
HBE,Car,AM,3,1,0.000,"Children (0 to 15), in 1 adult household with no car"
HBE,Car,AM,3,2,0.002,"Children (0 to 15),in 1 adult household with one or more cars"
HBE,Car,AM,3,3,0.001,"Children (0 to 15), in 2 adult household with no car"
HBE,Car,AM,3,4,0.002,"Children (0 to 15), in 2 adult household with one car"
HBE,Car,AM,3,5,0.002,"Children (0 to 15), in 2 adult household with two or more cars"
HBE,Car,AM,3,6,0.000,"Children (0 to 15), in 3+ adult household with no car"
HBE,Car,AM,3,7,0.002,"Children (0 to 15), in 3+ adult household with one car"
HBE,Car,AM,3,8,0.002,"Children (0 to 15), in 3+ adult household with two or more cars"
HBE,Car,AM,3,9,0.029,"males in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,10,0.178,"males in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,11,0.027,"males in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,12,0.147,"males in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,13,0.277,"males in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,14,0.034,"males in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,15,0.121,"males in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,16,0.213,"males in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,17,0.048,"males in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,18,0.186,"males in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,19,0.033,"males in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,20,0.159,"males in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,21,0.246,"males in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,22,0.037,"males in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,23,0.145,"males in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,24,0.197,"males in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,25,0.005,"male students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,26,0.021,"male students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,27,0.006,"male students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,28,0.019,"male students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,29,0.026,"male students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,30,0.005,"male students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,31,0.016,"male students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,32,0.020,"male students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,33,0.004,"male not employed / students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,34,0.014,"male not employed / students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,35,0.004,"male not employed / students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,36,0.013,"male not employed / students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,37,0.021,"male not employed / students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,38,0.005,"male not employed / students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,39,0.016,"male not employed / students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,40,0.022,"male not employed / students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,41,0.000,"male 75+, in 1 adult households with no car"
HBE,Car,AM,3,42,0.006,"male 75+, in 1 adult households with one car"
HBE,Car,AM,3,43,0.000,"male 75+, in 2 adult households with no car"
HBE,Car,AM,3,44,0.005,"male 75+, in 2 adult households with one car"
HBE,Car,AM,3,45,0.014,"male 75+, in 2 adult households with two plus cars"
HBE,Car,AM,3,46,0.000,"male 75+, in 3+ adult households with no car"
HBE,Car,AM,3,47,0.012,"male 75+, in 3+ adult households with one car"
HBE,Car,AM,3,48,0.017,"male 75+, in 3+ adult households with two plus cars"
HBE,Car,AM,3,49,0.022,"females in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,50,0.136,"females in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,51,0.021,"females in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,52,0.098,"females in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,53,0.183,"females in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,54,0.026,"females in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,55,0.092,"females in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,56,0.148,"females in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,57,0.030,"females in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,58,0.131,"females in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,59,0.021,"females in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,60,0.115,"females in part time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,61,0.173,"females in part time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,62,0.026,"females in part time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,63,0.118,"females in part time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,64,0.160,"females in part time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,65,0.006,"female students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,66,0.030,"female students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,67,0.006,"female students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,68,0.024,"female students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,69,0.037,"female students (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,70,0.005,"female students (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,71,0.018,"female students (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,72,0.023,"female students (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,73,0.001,"female not employed / students (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,74,0.007,"female not employed / students (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,75,0.002,"female not employed / students (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,76,0.007,"female not employed / students (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,77,0.011,"female not employed / students (16 to 74), in 2 adult households with two plus cars"
