purpose,mode,period,area,work_type,traveller_type,trip_rate,tt_desc
HBE,Car,AM,3,ALL,1,0,"Children (0 to 15), in 1 adult household with no car"
HBE,Car,AM,3,ALL,2,0.002,"Children (0 to 15),in 1 adult household with one or more cars"
HBE,Car,AM,3,ALL,3,0.001,"Children (0 to 15), in 2 adult household with no car"
HBE,Car,AM,3,ALL,4,0.002,"Children (0 to 15), in 2 adult household with one car"
HBE,Car,AM,3,ALL,5,0.002,"Children (0 to 15), in 2 adult household with two or more cars"
HBE,Car,AM,3,ALL,6,0,"Children (0 to 15), in 3+ adult household with no car"
HBE,Car,AM,3,ALL,7,0.002,"Children (0 to 15), in 3+ adult household with one car"
HBE,Car,AM,3,ALL,8,0.002,"Children (0 to 15), in 3+ adult household with two or more cars"
HBE,Car,AM,3,WAH,9,0.022097424,"males in full time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,WAH,10,0.135632465,"males in full time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,WAH,11,0.020573464,"males in full time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,WAH,12,0.11201108,"males in full time employment (16 to 74), in 2 adult households with one car"
HBE,Car,AM,3,WAH,13,0.211068498,"males in full time employment (16 to 74), in 2 adult households with two plus cars"
HBE,Car,AM,3,WAH,14,0.025907325,"males in full time employment (16 to 74), in 3+ adult households with no car"
HBE,Car,AM,3,WAH,15,0.092199597,"males in full time employment (16 to 74), in 3+ adult households with one car"
HBE,Car,AM,3,WAH,16,0.162301769,"males in full time employment (16 to 74), in 3+ adult households with two plus cars"
HBE,Car,AM,3,WAH,17,0.036575047,"males in part time employment (16 to 74), in 1 adult households with no car"
HBE,Car,AM,3,WAH,18,0.141728306,"males in part time employment (16 to 74), in 1 adult households with one or more cars"
HBE,Car,AM,3,WAH,19,0.025145345,"males in part time employment (16 to 74), in 2 adult households with no car"
HBE,Car,AM,3,WAH,20,0.121154842,"males in part time employment (16 to 74), in 2 adult households with one car"
